Date,0,exit,max_comb,max_prob
2000-09-08,True,False,"(4, 1, 6, 3)",0.6840385301736526
2000-09-11,False,True,"(9, 1, 6, 3)",0.6953294508676434
2000-09-12,False,True,,
2000-09-13,False,True,"(7, 1, 4, 1)",0.4300895598242718
2000-09-14,False,True,,
2000-09-15,False,True,,
2000-09-18,False,True,,
2000-09-19,False,True,"(2, 1, 6, 1)",0.13998080935274054
2000-09-20,False,True,"(2, 1, 6, 1)",0.09969929015817416
2000-09-21,False,True,"(4, 1, 4, 1)",0.11556144260389914
2000-09-22,False,True,,
2000-09-25,False,True,"(3, 1, 7, 3)",0.22348090115393443
2000-09-26,False,True,,
2000-09-27,False,True,,
2000-09-28,False,True,"(6, 1, 7, 3)",0.07573383078409775
2000-09-29,False,True,,
2000-10-02,False,True,,
2000-10-03,False,True,,
2000-10-04,False,True,,
2000-10-05,False,True,,
2000-10-06,False,True,,
2000-10-09,False,True,,
2000-10-10,False,True,,
2000-10-11,False,True,,
2000-10-12,False,True,,
2000-10-13,False,True,,
2000-10-16,False,True,"(2, 1, 7, 3)",0.32610134183246736
2000-10-17,True,False,"(3, 1, 7, 3)",0.7793053180324518
2000-10-18,False,True,"(4, 1, 7, 3)",0.669029225176763
2000-10-19,False,True,,
2000-10-20,False,True,,
2000-10-23,False,True,,
2000-10-24,False,True,,
2000-10-25,False,True,,
2000-10-26,False,True,,
2000-10-27,True,False,"(4, 1, 4, 1)",0.911419144156333
2000-10-30,True,False,"(2, 1, 6, 1)",0.9402184621993543
2000-10-31,True,False,"(2, 1, 7, 3)",0.9648843083125024
2000-11-01,True,False,"(2, 1, 6, 1)",0.5737807289244367
2000-11-02,True,False,"(2, 1, 6, 2)",0.2642535033163774
2000-11-03,False,True,"(2, 1, 6, 2)",0.4943747549963431
2000-11-06,False,True,"(3, 1, 7, 3)",0.1168979919140029
2000-11-07,False,True,"(5, 3, 4, 1)",0.12088222904449349
2000-11-08,True,False,"(6, 1, 7, 2)",0.5399331224536411
2000-11-09,False,True,"(6, 1, 7, 3)",0.4432939438120568
2000-11-10,False,True,,
2000-11-13,True,False,"(8, 1, 4, 1)",0.5845591043090155
2000-11-14,True,False,"(8, 1, 6, 3)",0.05349213495602091
2000-11-15,False,True,"(2, 1, 6, 1)",0.3497877051543476
2000-11-16,False,True,,
2000-11-17,False,True,,
2000-11-20,False,True,"(4, 1, 4, 1)",0.1961092060015345
2000-11-21,False,True,,
2000-11-22,False,True,,
2000-11-24,False,True,,
2000-11-27,True,False,"(2, 1, 6, 1)",0.6146024809986784
2000-11-28,False,True,,
2000-11-29,False,True,,
2000-11-30,False,True,,
2000-12-01,False,True,"(5, 1, 4, 1)",0.3708643600893538
2000-12-04,False,True,,
2000-12-05,False,True,,
2000-12-06,False,True,,
2000-12-07,False,True,,
2000-12-08,False,True,,
2000-12-11,True,False,"(2, 1, 6, 2)",0.6750246278517197
2000-12-12,False,True,"(2, 1, 7, 3)",0.3919267464188092
2000-12-13,True,False,"(4, 1, 4, 1)",0.6487187758558999
2000-12-14,False,True,,
2000-12-15,False,True,,
2000-12-18,True,False,"(4, 1, 4, 1)",0.8593906616131013
2000-12-19,False,True,,
2000-12-20,False,True,,
2000-12-21,True,False,"(2, 1, 4, 1)",0.9630537524327352
2000-12-22,True,False,"(2, 1, 7, 3)",0.8581825799820774
2000-12-26,False,True,"(2, 1, 7, 2)",0.9745839673480216
2000-12-27,True,False,"(2, 1, 7, 3)",0.9641727236804337
2000-12-28,False,True,"(3, 1, 7, 3)",0.9406059452378057
2000-12-29,True,False,"(4, 1, 7, 3)",0.9440690757361067
2001-01-02,False,True,"(2, 1, 2, 1)",0.9427497994718156
2001-01-03,True,False,"(6, 1, 2, 1)",0.8508814104175216
2001-01-04,True,False,"(4, 1, 4, 1)",0.8671756243498074
2001-01-05,False,True,"(3, 1, 7, 3)",0.9915175186182567
2001-01-08,True,False,"(2, 1, 7, 3)",0.9820339185106165
2001-01-09,True,False,"(3, 1, 4, 1)",0.9300172344843737
2001-01-10,False,True,"(3, 1, 4, 1)",0.9752804296767562
2001-01-11,True,False,"(2, 1, 4, 1)",0.9178766329024041
2001-01-12,False,True,"(2, 1, 4, 1)",0.951374850943649
2001-01-16,True,False,"(3, 1, 4, 1)",0.9590989149858039
2001-01-17,False,True,"(4, 1, 4, 1)",0.9613828237125617
2001-01-18,True,False,"(4, 1, 4, 1)",0.9635392084439698
2001-01-19,True,False,"(2, 1, 4, 1)",0.9043843161934544
2001-01-22,False,True,"(2, 1, 4, 1)",0.9730687353347828
2001-01-23,False,True,"(2, 1, 4, 1)",0.2820841781075136
2001-01-24,False,True,"(2, 1, 4, 1)",0.42934323968889276
2001-01-25,True,False,"(3, 1, 4, 1)",0.7987767726844051
2001-01-26,False,True,"(4, 1, 7, 3)",0.7730355774523371
2001-01-29,False,True,"(4, 1, 4, 1)",0.07545842212408221
2001-01-30,False,True,"(2, 1, 4, 1)",0.2045935608080156
2001-01-31,False,True,"(3, 1, 4, 1)",0.24460418032557327
2001-02-01,False,True,"(4, 1, 4, 1)",0.10908455790263512
2001-02-02,False,True,"(7, 1, 6, 2)",0.45300321324331577
2001-02-05,True,False,"(6, 1, 7, 3)",0.8065463051030067
2001-02-06,False,True,"(5, 1, 6, 2)",0.1999760864037437
2001-02-07,True,False,"(2, 1, 6, 2)",0.576369023440783
2001-02-08,False,True,"(8, 1, 7, 3)",0.2755731507687329
2001-02-09,False,True,,
2001-02-12,True,False,"(9, 1, 6, 5)",0.6854888538253461
2001-02-13,False,True,,
2001-02-14,False,True,,
2001-02-15,False,True,,
2001-02-16,False,True,,
2001-02-20,False,True,,
2001-02-21,True,False,"(3, 1, 7, 3)",0.8098482810307439
2001-02-22,False,True,"(4, 1, 7, 3)",0.7783075921942759
2001-02-23,False,True,,
2001-02-26,False,True,,
2001-02-27,True,False,"(2, 1, 6, 3)",0.7907805575694069
2001-02-28,False,True,,
2001-03-01,True,False,"(4, 1, 7, 3)",0.9021913002395184
2001-03-02,False,True,"(4, 1, 6, 3)",0.8291689322674517
2001-03-05,False,True,"(2, 1, 2, 1)",0.17720053096264937
2001-03-06,False,True,"(2, 1, 6, 2)",0.1966066662222689
2001-03-07,False,True,"(2, 1, 6, 2)",0.41480033867911664
2001-03-08,False,True,"(3, 1, 4, 1)",0.29818535122059664
2001-03-09,True,False,"(5, 1, 4, 1)",0.7591344035239425
2001-03-12,False,True,"(8, 1, 7, 4)",0.9572862569348252
2001-03-13,True,False,"(5, 1, 7, 3)",0.9311192446772585
2001-03-14,False,True,"(6, 1, 6, 3)",0.8516898731419985
2001-03-15,True,False,"(2, 1, 6, 2)",0.9325405908023141
2001-03-16,False,True,"(3, 1, 6, 3)",0.9353036872838015
2001-03-19,True,False,"(3, 1, 7, 3)",0.9181324505153826
2001-03-20,False,True,"(2, 1, 2, 1)",0.8485946929078554
2001-03-21,True,False,"(2, 1, 7, 3)",0.921076587796785
2001-03-22,True,False,"(3, 1, 4, 1)",0.5038701609482552
2001-03-23,True,False,"(2, 1, 4, 1)",0.3796695533459309
2001-03-26,False,True,"(2, 1, 4, 1)",0.5666476614870222
2001-03-27,False,True,"(2, 1, 4, 1)",0.3411703985486505
2001-03-28,True,False,"(3, 1, 4, 1)",0.5395148808814249
2001-03-29,False,True,"(4, 1, 4, 1)",0.27839445261766443
2001-03-30,False,True,"(5, 1, 4, 1)",0.41037360800289246
2001-04-02,True,False,"(8, 1, 3, 1)",0.7133224008054768
2001-04-03,False,True,"(9, 1, 7, 4)",0.8665952394315807
2001-04-04,False,True,,
2001-04-05,True,False,"(9, 1, 6, 3)",0.740023087672222
2001-04-06,False,True,"(2, 1, 4, 1)",0.8838507350167968
2001-04-09,False,True,,
2001-04-10,False,True,,
2001-04-11,True,False,"(2, 1, 2, 1)",0.5207029489446658
2001-04-12,True,False,"(2, 1, 4, 1)",0.8168044919454001
2001-04-16,False,True,"(4, 1, 6, 2)",0.9194765259699087
2001-04-17,True,False,"(8, 1, 6, 2)",0.9480869588985034
2001-04-18,True,False,"(3, 1, 4, 1)",0.11104052576481732
2001-04-19,True,False,"(2, 1, 4, 1)",0.48745950122786286
2001-04-20,False,True,"(2, 1, 7, 3)",0.2703692280389181
2001-04-23,True,False,"(3, 1, 4, 1)",0.858431324242946
2001-04-24,False,True,"(4, 1, 4, 1)",0.9011864956539235
2001-04-25,True,False,"(4, 1, 4, 1)",0.594858004540535
2001-04-26,False,True,"(2, 1, 4, 1)",0.867184295341467
2001-04-27,False,True,"(2, 1, 4, 1)",0.2994191037016318
2001-04-30,False,True,"(2, 1, 4, 1)",0.4310730806995907
2001-05-01,False,True,"(2, 1, 4, 1)",0.22730933960872407
2001-05-02,False,True,"(3, 1, 4, 1)",0.1601400742263983
2001-05-03,False,True,"(5, 2, 4, 1)",0.3754362299583114
2001-05-04,False,True,"(2, 1, 4, 1)",0.2997091708768143
2001-05-07,False,True,"(7, 2, 7, 3)",0.4486409840446006
2001-05-08,False,True,,
2001-05-09,False,True,,
2001-05-10,False,True,,
2001-05-11,False,True,,
2001-05-14,True,False,"(8, 1, 4, 1)",0.6008208090945907
2001-05-15,False,True,"(2, 1, 6, 1)",0.8223629590090518
2001-05-16,False,True,"(2, 1, 6, 1)",0.24956968334073798
2001-05-17,True,False,"(2, 1, 6, 1)",0.5840068982126174
2001-05-18,False,True,"(3, 1, 7, 3)",0.4488516318528459
2001-05-21,False,True,"(3, 1, 6, 1)",0.42954110767285625
2001-05-22,False,True,"(5, 1, 7, 1)",0.3404475754359077
2001-05-23,False,True,,
2001-05-24,False,True,,
2001-05-25,False,True,,
2001-05-29,False,True,,
2001-05-30,False,True,,
2001-05-31,False,True,,
2001-06-01,False,True,,
2001-06-04,True,False,"(2, 1, 7, 3)",0.7777669103247088
2001-06-05,False,True,"(2, 1, 6, 2)",0.6318673087936546
2001-06-06,True,False,"(2, 1, 7, 3)",0.8552279448468927
2001-06-07,True,False,"(2, 1, 6, 1)",0.2191191560188505
2001-06-08,False,True,"(2, 1, 6, 1)",0.6090936217772561
2001-06-11,True,False,"(7, 1, 7, 3)",0.8764939863429048
2001-06-12,False,True,"(4, 1, 7, 3)",0.7794874497865997
2001-06-13,True,False,"(4, 1, 7, 3)",0.7729920570793618
2001-06-14,False,True,,
2001-06-15,True,False,"(2, 1, 6, 2)",0.9032809592214831
2001-06-18,False,True,"(7, 1, 7, 3)",0.9344076651235111
2001-06-19,False,True,,
2001-06-20,False,True,,
2001-06-21,True,False,"(2, 1, 6, 2)",0.8406819033024191
