,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
unique_cnt_hh_hl_counts,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
unique_cnt_window_exit,9.0,7.0,4.0,6.0,7.0,8.0,3.0,9.0,4.0,9.0,5.0,4.0,9.0,7.0,6.0,5.0,9.0,4.0,4.0,5.0,8.0,4.0,6.0,7.0
unique_cnt_lh_counts,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0
value_counts_window_entry_1,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_window_entry_2,6.0,,,,,18.0,5.0,,4.0,2.0,3.0,11.0,,,1.0,3.0,,1.0,,,1.0,11.0,4.0,1.0
value_counts_window_entry_3,26.0,,,,6.0,,,,2.0,2.0,4.0,,1.0,,19.0,4.0,1.0,1.0,,,1.0,,,11.0
value_counts_window_entry_4,1.0,,1.0,1.0,14.0,3.0,,,2.0,28.0,3.0,,3.0,,2.0,3.0,,3.0,,,3.0,,14.0,3.0
value_counts_window_entry_5,,,,,1.0,,,32.0,,1.0,2.0,,5.0,,,4.0,36.0,4.0,,,,,,1.0
value_counts_window_entry_6,,1.0,7.0,17.0,1.0,,,1.0,,,,,31.0,,,,6.0,,3.0,,,,,
value_counts_window_entry_7,,28.0,,,,,,,,,,,,9.0,,,,,4.0,6.0,4.0,,,
value_counts_window_entry_8,,,,1.0,,,,,,,,,,21.0,,,,,2.0,2.0,10.0,,,
value_counts_window_entry_9,,,,,,,,1.0,,,,,,2.0,,,,,1.0,4.0,3.0,,,
value_counts_window_entry_10,,1.0,,,,,,,,,,,,,,,,1.0,,3.0,,,,
value_counts_hh_hl_counts_1,,,7.0,18.0,16.0,,5.0,,8.0,,6.0,10.0,,29.0,22.0,14.0,33.0,,9.0,,,11.0,18.0,11.0
value_counts_hh_hl_counts_2,32.0,29.0,1.0,1.0,6.0,18.0,,28.0,,32.0,6.0,1.0,37.0,3.0,,,10.0,9.0,1.0,15.0,22.0,,,5.0
value_counts_hh_hl_counts_3,1.0,1.0,,,,3.0,,6.0,,1.0,,,3.0,,,,,1.0,,,,,,
value_counts_hh_hl_counts_4,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_5,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_6,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_7,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_8,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_9,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_hh_hl_counts_10,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_window_exit_1,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_window_exit_2,2.0,,,1.0,,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,,6.0,1.0,,,2.0
value_counts_window_exit_3,2.0,,1.0,,3.0,2.0,1.0,2.0,2.0,3.0,2.0,,2.0,1.0,4.0,3.0,3.0,1.0,2.0,6.0,2.0,,,1.0
value_counts_window_exit_4,4.0,3.0,3.0,,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,4.0,1.0,3.0,4.0,6.0,2.0,3.0,1.0,4.0,,2.0,2.0
value_counts_window_exit_5,4.0,2.0,2.0,,,3.0,,5.0,1.0,3.0,5.0,,4.0,1.0,3.0,4.0,6.0,6.0,4.0,1.0,5.0,2.0,2.0,1.0
value_counts_window_exit_6,3.0,5.0,2.0,3.0,1.0,3.0,,6.0,,4.0,2.0,,6.0,5.0,4.0,2.0,7.0,1.0,1.0,1.0,6.0,3.0,3.0,
value_counts_window_exit_7,4.0,5.0,,5.0,2.0,3.0,,4.0,,5.0,,,6.0,9.0,3.0,,5.0,,,,2.0,3.0,6.0,1.0
value_counts_window_exit_8,5.0,5.0,,4.0,3.0,3.0,,5.0,,4.0,,1.0,5.0,10.0,5.0,,5.0,,,,1.0,3.0,4.0,
value_counts_window_exit_9,4.0,5.0,,5.0,6.0,4.0,,5.0,,4.0,,4.0,5.0,5.0,,,5.0,,,,1.0,,1.0,5.0
value_counts_window_exit_10,5.0,5.0,,1.0,6.0,,,4.0,,5.0,,5.0,6.0,,,,5.0,,,,,,,4.0
value_counts_lh_counts_1,9.0,7.0,1.0,4.0,2.0,8.0,3.0,9.0,2.0,9.0,1.0,2.0,10.0,6.0,7.0,,8.0,1.0,,3.0,6.0,4.0,5.0,2.0
value_counts_lh_counts_2,10.0,8.0,2.0,5.0,4.0,5.0,2.0,7.0,3.0,10.0,1.0,3.0,8.0,7.0,7.0,1.0,8.0,,,6.0,4.0,4.0,5.0,4.0
value_counts_lh_counts_3,8.0,5.0,1.0,1.0,4.0,7.0,,6.0,3.0,7.0,1.0,2.0,7.0,6.0,5.0,3.0,11.0,,3.0,3.0,5.0,3.0,3.0,6.0
value_counts_lh_counts_4,4.0,6.0,1.0,4.0,5.0,1.0,,9.0,,5.0,8.0,3.0,9.0,10.0,2.0,4.0,8.0,4.0,4.0,2.0,2.0,,2.0,3.0
value_counts_lh_counts_5,2.0,4.0,3.0,5.0,7.0,,,3.0,,2.0,1.0,1.0,6.0,3.0,1.0,6.0,8.0,5.0,3.0,1.0,5.0,,3.0,1.0
value_counts_lh_counts_6,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_lh_counts_7,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_lh_counts_8,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_lh_counts_9,,,,,,,,,,,,,,,,,,,,,,,,
value_counts_lh_counts_10,,,,,,,,,,,,,,,,,,,,,,,,
