"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
"","",18,0,251,252 days,100.0,90.325968,-9.674032,-2.346845,100.0,0.0,22.931110,126 days,4,3,1,-1.465965,33.333333,11.160059,-14.986807,11.160059,-8.926611,68 days,15 days 12:00:00,0.576207,-2.736022,-0.582984,-0.597549,0.879729,-0.781254
"","",19,0,251,252 days,100.0,69.320861,-30.679139,-6.721865,100.0,0.0,34.153695,133 days,3,3,0,0.000000,0.000000,-2.866414,-16.052416,NaN,-11.301879,NaT,17 days 00:00:00,0.000000,-10.226380,-2.491766,-1.205804,0.429857,-2.773502
12,52,0,0,251,252 days,100.0,69.959057,-30.040943,12.233055,100.0,0.0,30.458655,103 days,3,3,0,0.000000,0.000000,-9.783668,-12.593676,NaN,-11.219496,NaT,14 days 00:00:00,0.000000,-10.013648,-2.669379,-1.326281,0.359568,-2.850531
"","",1,0,251,252 days,100.0,70.836730,-29.163270,-4.137931,100.0,0.0,30.458655,137 days,4,3,1,0.877673,0.000000,-9.783668,-12.593676,NaN,-11.219496,NaT,14 days 00:00:00,0.000000,-10.013648,-2.534600,-1.290623,0.401403,-2.731726
"","",2,0,251,252 days,100.0,54.316654,-45.683346,-37.732028,100.0,0.0,45.683346,171 days,4,4,0,0.000000,0.000000,-9.783668,-22.359369,NaN,-14.004465,NaT,13 days 18:00:00,0.000000,-11.420837,-3.610365,-1.284675,0.283471,-3.742559
"","",3,0,251,252 days,100.0,66.349004,-33.650996,-31.156419,100.0,0.0,41.771918,175 days,4,3,1,4.206300,0.000000,-9.783668,-22.359369,NaN,-14.474727,NaT,17 days 16:00:00,0.000000,-12.619099,-2.240362,-1.072480,0.550423,-2.582683
"","",4,0,251,252 days,100.0,85.013307,-14.986693,-6.756252,100.0,0.0,38.290323,163 days,3,2,1,16.131428,0.000000,-11.281146,-22.359369,NaN,-16.820257,NaT,18 days 12:00:00,0.000000,-15.559061,-0.611722,-0.547297,0.860546,-0.827036
"","",5,0,251,252 days,100.0,120.718907,20.718907,29.639547,100.0,0.0,28.918708,102 days,2,1,1,43.078275,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,0.967567,1.084223,1.272468,1.554001
"","",6,0,251,252 days,100.0,126.242746,26.242746,38.860759,100.0,0.0,28.918708,102 days,2,1,1,48.602115,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,1.118069,1.388325,1.272347,1.792874
"","",7,0,251,252 days,100.0,144.346878,44.346878,51.770207,100.0,0.0,16.243308,38 days,2,1,1,3.091937,100.000000,41.254941,41.254941,41.254941,NaN,129 days,NaT,inf,41.254941,1.725057,4.320046,1.439509,3.042761
