symbol,strategy,parameters,is_final,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Total Trades per year
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 8, 'lh_counts': 5}",,2014-09-17,2024-01-24,3417,100.0,16757.93180556265,16657.93180556265,8663.195588713,100.0,2068.990312512602,34.79399759089387,753,189,189,0,0.0,35.978835978835974,108.27583494361018,-14.60911915133091,14.315406896551568,-2.5548081979480166,10 days 21:31:45.882352941,3 days 03:34:12.892561983,1.8293866933991112,88.13720532043726,1.5550626133171173,2.092828647646949,1.5215395297876186,2.704910514624727,19.91220368744513
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 8, 'lh_counts': 3}",,2014-09-17,2024-01-24,3417,100.0,10424.886842612543,10324.886842612543,8663.195588713,100.0,1568.2906365054052,38.004389820703814,521,213,213,0,0.0,38.497652582159624,86.86230487213359,-9.240770825724029,10.717900870029023,-2.3880086263346945,7 days 09:04:23.414634146,2 days 10:59:32.519083969,1.7851076336132117,48.47364714841569,1.534978806883366,1.6912179407519579,1.5851472528554469,2.7848623033853492,22.440737489025462
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 8, 'lh_counts': 2}",,2014-09-17,2024-01-24,3417,100.0,12594.46215080445,12494.46215080445,8663.195588713,100.0,1865.7774940012491,34.60822508684335,521,214,214,0,0.0,39.25233644859813,83.72352350030188,-9.240770825724,10.664616120200025,-2.3832945607837273,7 days 00:17:08.571428571,2 days 09:47:04.615384615,1.8033518858600757,58.38533715329186,1.604952551283038,1.9540149841850174,1.6333774398624752,2.9693940099571274,22.54609306409131
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 9, 'lh_counts': 1}",,2014-09-17,2024-01-24,3417,100.0,10411.656585644296,10311.656585644296,8663.195588713,100.0,1472.918187696361,37.144181711352914,755,202,202,0,0.0,39.603960396039604,83.72352350030187,-9.240770825724013,10.449584467742657,-2.306687085432404,6 days 18:36:00,2 days 10:13:46.229508196,1.8422743253261795,51.047804879427204,1.5747397595497143,1.7297843343616077,1.6499515931048965,2.917286274919175,21.28182616330114
BTC/USD,hhhl,"{'window_entry': 3, 'hh_hl_counts': 2, 'window_exit': 3, 'lh_counts': 2}",,2014-09-17,2024-01-24,3417,100.0,3525.527312644098,3425.5273126440984,8663.195588713,100.0,495.7130059054427,56.54089119605832,1074,201,201,0,0.0,41.29353233830846,75.21938454439658,-13.810393925002673,10.228672736105485,-3.348111218038451,7 days 11:33:58.554216867,2 days 15:39:39.661016949,1.6415185349533012,17.04242444101542,1.1814626982121221,0.8190453861642082,1.4148480685474996,1.9830167186655154,21.176470588235293
BTC/USD,hhhl,"{'window_entry': 4, 'hh_hl_counts': 1, 'window_exit': 3, 'lh_counts': 2}",,2014-09-17,2024-01-24,3417,100.0,13189.568066265498,13089.568066265496,8663.195588713,100.0,1881.603698353386,42.55658865801595,775,196,196,0,0.0,37.244897959183675,126.8819456842778,-14.22373793982251,14.513836015887962,-3.383833263493483,13 days 10:50:57.534246575,3 days 21:51:13.170731707,1.6354333522981976,66.78351054217089,1.377642313689386,1.6085338143392234,1.3857946105142795,2.277417003174659,20.64969271290606
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 8, 'lh_counts': 4}",,2014-09-17,2024-01-24,3417,100.0,8874.798950853861,8774.798950853861,8663.195588713,100.0,1352.8792326269388,40.6596910695487,692,206,206,0,0.0,37.37864077669903,104.94847686212614,-14.609119151330916,11.419608594032878,-2.3965015359542496,8 days 13:42:51.428571428,2 days 14:41:51.627906976,1.7484826238116984,42.59611141191193,1.4525128201487982,1.5118917002634702,1.519450469152798,2.5546819923017243,21.70324846356453
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 7, 'lh_counts': 5}",,2014-09-17,2024-01-24,3417,100.0,14821.281618976556,14721.281618976556,8663.195588713,100.0,1865.9578891185276,38.1056382461007,851,191,191,0,0.0,36.64921465968586,108.27583494361019,-14.60911915133091,14.69737560022491,-3.034424766420035,12 days 07:53:08.571428571,3 days 14:52:33.719008264,1.7199588108564468,77.07477287422282,1.466349808713317,1.8518421340752365,1.4441710923534212,2.4944509701960236,20.122914837576822
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 9, 'lh_counts': 4}",,2014-09-17,2024-01-24,3417,100.0,7440.678825591516,7340.678825591516,8663.195588713,100.0,1098.2613461230285,35.27209242409322,1015,198,198,0,0.0,37.878787878787875,104.94847686212616,-9.240770825724006,10.807479823194223,-2.2946086577085985,7 days 20:09:36,2 days 13:04:23.414634146,1.7818742998654549,37.074135482785415,1.4261998325663339,1.6574407268749212,1.5427569633443126,2.528370091903503,20.860403863037753
BTC/USD,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 7, 'lh_counts': 3}",,2014-09-17,2024-01-24,3417,100.0,11320.166160028659,11220.166160028659,8663.195588713,100.0,1918.9486369000663,37.38220057876043,1014,222,222,0,0.0,38.288288288288285,86.8623048721336,-14.609119151330919,10.66725972699148,-2.389303157244611,7 days 15:48:42.352941176,2 days 11:54:44.671532846,1.6878595244332617,50.5412890091381,1.5263018520552891,1.7582117523861862,1.5551781143697216,2.7281926302132486,23.388937664618087
