custom_window_entry,custom_hh_hl_counts,custom_window_exit,custom_lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc
6,5,5,4,15.0,7.0543646983796,15.950814949793342,-20.955588320739764,0.6466293752941963,7.413412618131687,18.28339372208201,32.23967164356287,15.0,15.55842637992429,6.4922175214647515,8.15563290177446,8.466451924731082,17.150155592627105,17.335497144682737,26.0027482692245,15.0,356.73333333333335,102.34498149931554,141.0,323.0,333.0,411.0,576.0,15.0,10.2,1.6987390281365427,8.0,9.0,10.0,12.0,13.0,15.0,5.614678899082569,0.9350857035613996,4.4036697247706424,4.954128440366972,5.504587155963303,6.605504587155964,7.155963302752293,15.0,51.86001036001036,19.267492398881696,18.181818181818183,38.18181818181819,62.5,66.66666666666666,75.0,15.0,0.33497079607706043,0.7383668040112217,-1.1609249786324545,0.09113380250288142,0.40837583737466676,0.7779724262906662,1.3652821391317849,2.261127065553794,0.41727983042307804,0.16654304197417086,2.2042721713607523
6,5,5,5,15.0,14.22322229582301,17.868209455093314,-18.516920276511485,8.147474580002495,12.70515639834015,25.350255296907577,44.54939767848171,15.0,17.188371954105765,5.738929578739386,7.1304730495609245,13.32796238250495,17.57029864890618,19.45706199795461,26.127904560994764,15.0,402.1333333333333,104.44948653820774,261.0,322.0,350.0,458.0,609.0,15.0,8.733333333333333,1.791514389985135,6.0,7.0,8.0,10.5,11.0,15.0,4.807339449541285,0.9861547100835604,3.302752293577982,3.853211009174312,4.4036697247706424,5.779816513761467,6.055045871559633,15.0,61.35786435786436,14.919424777886936,30.0,52.77777777777778,66.66666666666666,72.07792207792208,77.77777777777779,15.0,0.5559382354666337,0.6765048514283273,-0.8905333030962512,0.3891630654159697,0.545093791475318,0.9208754883230452,1.5367848339897998,1.2562701393158104,0.3338844187257965,0.20513523549448112,1.216870523144526
6,5,6,1,15.0,10.703199759324589,20.016242881534925,-16.722419345939628,-6.288241620223943,17.535225622486067,25.632399974083356,46.01485495162319,15.0,7.760591774464464,4.033459268373707,2.7281329658849436,5.006453529538954,7.72857010593593,8.237791208523047,16.72241934593964,15.0,339.46666666666664,163.27140711389848,146.0,177.0,320.0,468.5,616.0,15.0,6.4,2.164651077128664,4.0,5.0,5.0,8.0,10.0,15.0,3.522935779816514,1.1915510516304573,2.2018348623853212,2.7522935779816513,2.7522935779816513,4.4036697247706424,5.504587155963303,15.0,41.78835978835979,26.972967991890865,0.0,20.0,50.0,65.0,80.0,15.0,0.5854160324709898,1.2907328403582405,-1.6154974020717217,-0.5182032986479816,1.224957485103918,1.738734235982262,2.2352075917294907,1.8701176593566655,0.5197360440534246,0.33822673080135374,2.2048129343335034
6,5,6,2,15.0,8.1339840562844,16.36220224846342,-15.63009452834069,-5.572849783545841,16.348950782636493,19.440634291325885,36.79035017123282,15.0,8.641595803431446,3.423950916405599,4.654971078266308,7.092201100754774,8.19868169214328,8.265803350100274,16.686926020881902,15.0,357.06666666666666,141.43169308724197,131.0,263.0,305.0,461.0,616.0,15.0,8.0,2.53546276418555,5.0,6.0,7.0,9.5,13.0,15.0,4.403669724770642,1.395667576615899,2.7522935779816513,3.302752293577982,3.853211009174312,5.229357798165138,7.155963302752293,15.0,39.98575498575498,16.468521334582125,11.11111111111111,28.57142857142857,40.0,52.77777777777778,69.23076923076923,15.0,0.4237537259149952,1.015311513140775,-1.3811433187439963,-0.4332151544027953,1.0400622473645442,1.2810708771173536,1.7029949480969078,2.0115852373501784,0.3962174341741372,0.31693284552319373,2.395994302937282
6,5,6,3,15.0,8.766142439856178,18.673845409371022,-17.92453156799283,-7.711272055680617,15.101608375225496,22.196871783493748,41.47755280894074,15.0,10.543916897533393,3.716973769890514,6.254714684697735,7.092201100754774,10.343240281987605,11.52137347746947,18.952622559906445,15.0,431.3333333333333,131.4858312120504,263.0,298.0,420.0,536.5,616.0,15.0,10.333333333333334,1.877181270897812,8.0,9.0,10.0,12.0,13.0,15.0,5.688073394495413,1.0333107913198964,4.4036697247706424,4.954128440366972,5.504587155963303,6.605504587155964,7.155963302752293,15.0,44.922040922040914,15.798223881327484,9.090909090909092,38.18181818181819,50.0,55.55555555555556,61.53846153846154,15.0,0.4311526415554822,1.0052575746624175,-1.2702526528938627,-0.4227326259080014,0.9090613053615577,1.227518370148756,1.8602210455291708,2.130223817088397,0.352523052487264,0.18166270363527212,2.331558426815431
6,5,6,4,15.0,4.604490837793088,15.600448670796904,-22.374909615036444,-4.195173599672707,3.1404499570070925,18.374808015100072,26.141333656483102,15.0,15.311040627585971,7.084413506634074,7.439774900734443,7.48079793720337,16.632684397730372,17.150155592627108,26.7720465050025,15.0,374.6,114.74555702572043,141.0,322.0,333.0,454.5,576.0,15.0,10.2,1.6987390281365427,8.0,9.0,10.0,12.0,13.0,15.0,5.614678899082569,0.9350857035613996,4.4036697247706424,4.954128440366972,5.504587155963303,6.605504587155964,7.155963302752293,15.0,51.21963221963222,14.799114323128316,27.27272727272727,38.18181818181819,55.55555555555556,64.58333333333333,70.0,15.0,0.23093740667243282,0.7675805087713515,-1.269019863359888,-0.17027063331643189,0.20574194066447152,0.8686266190786278,1.2395013378163797,3.3880941933362885,0.4626996739770943,0.16654304197417086,3.323759973888103
6,5,6,5,15.0,7.047233874560053,15.53000900962559,-17.781111351476895,-1.5971035649627154,3.711307941210009,23.145526525412336,31.664643177815567,15.0,16.11258201574811,5.785737125505107,9.15720810434372,9.739263843764656,16.50147772206381,18.263838042433594,25.460824385337745,15.0,408.0,103.06793875885944,261.0,322.0,367.0,455.0,609.0,15.0,9.2,1.6987390281365427,7.0,8.0,9.0,11.0,12.0,15.0,5.064220183486239,0.9350857035613996,3.853211009174312,4.4036697247706424,4.954128440366972,6.055045871559633,6.605504587155964,15.0,46.34343434343433,27.303975520326016,10.0,21.11111111111111,50.0,73.21428571428572,81.81818181818183,15.0,0.30176832975304474,0.6509370195222596,-0.9161276452417813,-0.023738471498322998,0.24268733286410657,0.9613344912440358,1.1069086777172452,2.203702798297595,0.35908193484137085,0.18464554653658075,2.15707533012149
6,5,7,1,15.0,10.703199759324589,20.016242881534925,-16.722419345939628,-6.288241620223943,17.535225622486067,25.632399974083356,46.01485495162319,15.0,7.760591774464464,4.033459268373707,2.7281329658849436,5.006453529538954,7.72857010593593,8.237791208523047,16.72241934593964,15.0,339.46666666666664,163.27140711389848,146.0,177.0,320.0,468.5,616.0,15.0,6.4,2.164651077128664,4.0,5.0,5.0,8.0,10.0,15.0,3.522935779816514,1.1915510516304573,2.2018348623853212,2.7522935779816513,2.7522935779816513,4.4036697247706424,5.504587155963303,15.0,41.78835978835979,26.972967991890865,0.0,20.0,50.0,65.0,80.0,15.0,0.5854160324709898,1.2907328403582405,-1.6154974020717217,-0.5182032986479816,1.224957485103918,1.738734235982262,2.2352075917294907,1.8701176593566655,0.5197360440534246,0.33822673080135374,2.2048129343335034
6,5,7,2,15.0,10.703199759324589,20.016242881534925,-16.722419345939628,-6.288241620223943,17.535225622486067,25.632399974083356,46.01485495162319,15.0,7.760591774464464,4.033459268373707,2.7281329658849436,5.006453529538954,7.72857010593593,8.237791208523047,16.72241934593964,15.0,339.46666666666664,163.27140711389848,146.0,177.0,320.0,468.5,616.0,15.0,6.4,2.164651077128664,4.0,5.0,5.0,8.0,10.0,15.0,3.522935779816514,1.1915510516304573,2.2018348623853212,2.7522935779816513,2.7522935779816513,4.4036697247706424,5.504587155963303,15.0,41.78835978835979,26.972967991890865,0.0,20.0,50.0,65.0,80.0,15.0,0.5854160324709898,1.2907328403582405,-1.6154974020717217,-0.5182032986479816,1.224957485103918,1.738734235982262,2.2352075917294907,1.8701176593566655,0.5197360440534246,0.33822673080135374,2.2048129343335034
6,5,7,3,15.0,8.427173105252622,17.524694814905533,-17.10920402691083,-6.156306040682878,13.532794700339124,20.782726167609773,41.31431474158417,15.0,9.378381872912117,3.817909312143367,4.654971078266306,7.092201100754766,8.537175156881798,9.18338041787739,18.147507947443184,15.0,357.1333333333333,141.3177102775701,132.0,263.0,305.0,461.0,616.0,15.0,9.533333333333333,1.8847761013926703,7.0,8.0,9.0,11.0,13.0,15.0,5.247706422018349,1.0374914319592679,3.853211009174312,4.4036697247706424,4.954128440366972,6.055045871559633,7.155963302752293,15.0,43.25119325119325,13.798582445635766,10.0,41.42857142857143,44.44444444444444,50.0,61.53846153846154,15.0,0.4403655654119413,0.989445920848002,-1.2704999969833113,-0.41519252013470087,0.9725834875842266,1.2308667875130517,1.8582829276952617,2.07954608218294,0.4070968066645652,0.197703786859371,2.246873957827338
